Код филиала,Название,"Адрес, строка 1","Адрес, строка 2",Город,Район,Область/край,Страна,Индекс,Основной номер телефона,Веб-сайт,Основная категория,Дополнительные категории,Часы работы,Изображения,Описание,Доп. телефон,Моб. телефон,Ярлыки,"Номер телефона для расширения ""Адреса"" в AdWords"
0408,Ин-Тайм,"пр. Кирова, 135",,Днепропетровск,,Днепропетровская область,UA,00000, (67) 619-72-54,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Днепропетровск Титова (склад № 8 до 30кг)",0 (800) 30-09-11,,,
2113,Ин-Тайм,"ул. Академика Павлова, 88/7",,Харьков,,Харьковская область,UA,00000, (67) 619-72-56,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Харьков Академика Павлова (склад № 13 до 30кг)",0 (800) 30-09-11,,,
1636,Ин-Тайм,"ул. Котовского, 46а",,Сарата,,Одесская область,UA,00000, (67) 617-22-23,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Сарата (склад № 1)",0 (800) 30-09-11,,,
2424,Ин-Тайм,"пер. Гали Кудри, 1д",,Каменка,,Черкасская область,UA,00000, (67) 613-71-68,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:08:00:18:00,3:08:00:18:00,4:08:00:18:00,5:08:00:18:00,6:08:00:18:00,7:08:00:14:00",,"Каменка (склад № 1)",0 (800) 30-09-11,,,
2009,Ин-Тайм,"ул. Шевченко, 6",,Почаев,,Тернопольская область,UA,00000, (67) 611-82-83,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Почаев (склад № 1)",0 (800) 30-09-11,,,
2501,Ин-Тайм,"ул. Инструментальная, 1",,Чернигов,,Черниговская область,UA,00000, (67) 619-36-55,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Чернигов Центральный (склад № 1)",0 (800) 30-09-11,,,
2206,Ин-Тайм,"пр. Мира, 223а",,Геническ,,Херсонская область,UA,00000, (67) 617-14-43,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Геническ (склад № 1)",0 (800) 30-09-11,,,
0709,Ин-Тайм,"ул. Лазовская, 2",,Тячев,,Закарпатская область,UA,00000, (67) 619-62-55,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Тячев (склад № 1)",0 (800) 30-09-11,,,
1410,Ин-Тайм,"ул. Б.Хмельницкого, 61",,Червоноград,,Львовская область,UA,00000, (67) 619-06-28,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Червоноград  (склад № 1)",0 (800) 30-09-11,,,
0430,Ин-Тайм,"ж/м Коммунар, 5в, офис 1",,Днепропетровск,,Днепропетровская область,UA,00000, (67) 612-85-97,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Днепропетровск Коммунар (склад № 11 до 30кг)",0 (800) 30-09-11,,,
0712,Ин-Тайм,"ул. Матросова, 17",,Мукачево,,Закарпатская область,UA,00000, (67) 613-87-56,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Мукачево А. Морозова (склад № 3)",0 (800) 30-09-11,,,
1141,Ин-Тайм,"ул. Генерала Наумова, 3",,Киев,,Киев,UA,00000, (67) 613-87-53,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Новобеличи (склад № 41)",0 (800) 30-09-11,,,
0403,Ин-Тайм,"пр. Гагарина, 141",,Днепропетровск,,Днепропетровская область,UA,00000, (67) 619-78-11,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Днепропетровск Гагарина (склад № 3 до 30кг)",0 (800) 30-09-11,,,
1611,Ин-Тайм,"ул. Промышленная, 36б",,Одесса,,Одесская область,UA,00000, (67) 619-78-30,http://www.intime.ua,Почтовая служба,Курьерская служба,пн  9:00-19:30, вт – пт 8:00-19:30, сб  8:00-15:00, вс  выходной,,"Одесса Транзит (склад № 11)",0 (800) 30-09-11,,,
1412,Ин-Тайм,"ул. Бойковская, 5",,Львов,,Львовская область,UA,00000, (67) 614-14-21,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Львов Сахарова (склад № 4 до 30кг)",0 (800) 30-09-11,,,
1415,Ин-Тайм,"ул. Львовская , 6г",,Буск,,Львовская область,UA,00000, (67) 618-84-19,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Буск  (склад № 1)",0 (800) 30-09-11,,,
0804,Ин-Тайм,"ул. Космическая, 121",,Запорожье,,Запорожская область,UA,00000, (67) 619-78-29,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Запорожье Космическая (склад № 4)",0 (800) 30-09-11,,,
2504,Ин-Тайм,"ул. Красносельского, 1в",,Борзна,,Черниговская область,UA,00000, (67) 618-83-82,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Борзна (склад № 1)",0 (800) 30-09-11,,,
1113,Ин-Тайм,"ул. Попудренко, 20",,Киев,,Киев,UA,00000, (67) 618-84-07,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:20:00,3:09:00:20:00,4:09:00:20:00,5:09:00:20:00,6:09:00:20:00,7:09:00:15:00",,"Киев Дарница (склад № 13 до 30кг)",0 (800) 30-09-11,,,
1116,Ин-Тайм,"ул. Драйзера, 24",,Киев,,Киев,UA,00000, (67) 618-84-06,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:19:00,3:09:00:19:00,4:09:00:19:00,5:09:00:19:00,6:09:00:19:00,7:09:00:15:00",,"Киев Драйзера (склад № 16 до 30кг)",0 (800) 30-09-11,,,
1414,Ин-Тайм,"ул. Юридика, 17",,Броды,,Львовская область,UA,00000, (67) 618-84-00,http://www.intime.ua,Почтовая служба,Курьерская служба,"2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:18:00,6:09:00:18:00,7:09:00:15:00",,"Броды  (склад № 1)",0 (800) 30-09-11,,,
